camera_id,camera_name,source,url,ok,status,ctype,ms,err
0,Forestdale,http://103.95.113.96:82/allsky/,http://103.95.113.96:82/current/tmp/image.jpg,True,200,image/jpeg,979,
1,Cherry Grove Beach SC,http://104.235.250.133/public.php,http://104.235.250.133/public.php,False,,,8042,ConnectTimeout: 
2,Prescott Airport,http://www.insecam.org/en/view/167209/,http://199.104.253.5/jpg/image.jpg,True,200,image/jpeg,353,
3,Sternenhimmel-Hanau,http://217.154.14.194/allsky/,http://217.154.14.194/allsky/image.jpg,True,200,image/jpeg,329,
4,Rapla Estonia,http://217.159.238.175:89,http://217.159.238.175:89/current/tmp/image.jpg,True,200,image/jpeg,360,
5,Bessemer City,,http://24.142.194.118:5080/-wvhttp-01-/image.cgi,True,200,image/jpeg,277,
6,Gartcosh Nature Reserve Scotland,http://31.222.222.130:47406/allsky/,http://31.222.222.130:47406/current/tmp/image.jpg,True,200,image/jpeg,271,
7,Westford MA,http://44.193.130.226/allsky/index.php,http://44.193.130.226/allsky/image.jpg,False,,,8041,ConnectTimeout: 
8,Bern BE Switzerland,http://46.127.14.186/Bern/allsky_2/allsky,http://46.127.14.186/Bern/allsky_2/allsky/image.jpg,True,200,image/jpeg,829,
9,Saanenmoeser BE Switzerland,http://46.127.14.186/Saanenmoeser/allsky_1/allsky,http://46.127.14.186/Saanenmoeser/allsky_1/allsky/image.jpg,True,200,image/jpeg,829,
10,crosswalk in US,,http://47.21.225.42:1024/oneshotimage1?1475520832,True,200,image/jpeg,246,
11,HawleyTx,http://66.76.180.115/allsky/,http://66.76.180.115/allsky/image.jpg,False,,,8041,ConnectTimeout: 
12,Taylorville IL,http://72.9.121.194:10900/allsky/,http://72.9.121.194:10900/allsky/image.jpg,True,200,image/jpeg,230,
13,Santiago del Teide,http://80.102.219.39/allsky/,http://80.102.219.39/overlay/imagethumbnails/small6888.jpeg,False,,,8041,ConnectTimeout: 
14,Svortland - fra kommunehuset,,http://82.134.72.194/jpg/image.jpg,True,200,image/jpeg,578,
15,Capelas - S. Miguel,http://85.243.77.75/allsky,http://85.243.77.75/images/20260112/image-20260112185624.jpg,False,404,text/html,394,
16,Rixheim France,http://91.162.94.74:26600/allsky/,http://91.162.94.74:26600/allsky/image.jpg,False,400,text/html; charset=iso-8859-1,285,
17,Corio,http://abm.iliadboxos.it:8080/allsky/,http://abm.iliadboxos.it:8080/allsky/image.jpg,True,200,text/html,882,
18,Germany / Luebeck,http://ahrensma.bplaced.net/,http://ahrensma.bplaced.net/image.jpg,True,200,image/png,967,
19,Elektrenai,http://allskaj.tplinkdns.com/allsky/,http://allskaj.tplinkdns.com/allsky/image.jpg,False,,,7222,ConnectError: All connection attempts failed
20,ELEKTRENAI,http://allskaj.tplinkdns.com/allsky/,http://allskaj.tplinkdns.com/current/tmp/image.jpg,False,,,7223,ConnectError: All connection attempts failed
21,Freigericht DE,http://allsky.astropixels.de/allsky/,http://allsky.astropixels.de/allsky/image.jpg,True,200,image/jpeg,304,
22,Mississauga ON,http://allsky.awcloud.ca/allsky/,http://allsky.awcloud.ca/allsky/image.jpg,False,,,8044,ConnectTimeout: 
23,Petts Wood Kent UK,http://allsky.boterosanchez.co.uk,http://allsky.boterosanchez.co.uk/image.jpg,True,200,image/jpeg,378,
24,Jilemnice CZ,http://allsky.buna.cz,http://allsky.buna.cz/image.png,True,200,image/png,351,
25,Appomattox VA,http://allsky.hemna.com,http://allsky.hemna.com/image.jpg,True,200,image/jpeg,159,
26,Cs\u00f3kak\u0151,http://allsky.mrcollector.eu/,http://allsky.mrcollector.eu/images/image.jpg,True,200,image/jpeg,312,
27,Grosserlach Germany,http://allsky.novalisa.net/,http://allsky.novalisa.net/image.jpg,True,200,image/jpeg,272,
28,ISPRA (VA) - ITALY,http://allsky.rf.gd,http://allsky.rf.gd/image.jpg,False,404,text/html,271,
29,Loehne,http://allsky/allsky/index.php,http://allsky/current/tmp/image.jpg,False,,,45,"ConnectError: [Errno 8] nodename nor servname provided, or not known"
30,Castiglione della pescaia,http://allskycamtm.ddns.net/allsky,http://allskycamtm.ddns.net/current/tmp/image.jpg,True,200,image/jpeg,347,
31,Megisti Greece,http://allskykaz.sparkworks.cloud,http://allskykaz.sparkworks.cloud/image.jpg,True,200,image/jpeg,304,
32,Medway Kent,http://allskymartin.ddns.net/allsky,http://allskymartin.ddns.net/allsky/image.jpg,True,200,image/jpeg,288,
33,Wellington NZ,http://allskywelly.great-site.net/allsky,http://allskywelly.great-site.net/allsky/image.jpg,True,200,image/jpeg,264,
34,Purac̩ volcano,,http://amenazas.sgc.gov.co/webcam/popayan/Purace/imagen_web.jpg,False,,,8044,ConnectTimeout: 
35,Nevado del Huila volcano,,http://amenazas.sgc.gov.co/webcam/popayan/Tafxnu/imagen_web.jpg,False,,,8044,ConnectTimeout: 
36,Ancient Pines Observatory - Hartford ME,http://ancientpines.ddns.net/allsky/,http://ancientpines.ddns.net/current/tmp/image.jpg,False,,,8044,ConnectTimeout: 
37,Pal Vallnord,,http://andorrawebcams.andorramania.com/pal.jpg,True,200,image/jpeg,591,
38,Eternal Sunset,,http://antarctica.martingrund.de/ohig-pingi.jpg,True,200,image/jpeg,300,
39,Addison,,http://api.nysmesonet.org/cam/index.php/image/nysm/ADDI,True,200,image/jpeg,280,
40,Andes,,http://api.nysmesonet.org/cam/index.php/image/nysm/ANDE,True,200,image/jpeg,281,
