x_cam,y_cam,lon,lat,alt,note
NA,NA,-110.9546793137933,32.22992339518157,782.3129730948258,camera_loc
1324.77,1243.31,-110.9546696135368,32.23056598299242,750.5755914377426,left_corner_doughnut_building
2547.03,1205.22,-110.9542420913548,32.23020001322701,750.5252309308661,right_corner_dougnut_building
1334.95,1040.65,-110.9545010917159,32.23084309574638,754.5275178020021,close_corner_red_u_building_roof
1833.76,1000.93,-110.9540806050661,32.23085134196012,754.4098795640092,right_close_corner_red_u_building_roof
1014.88,954.19,-110.9544932754887,32.23140837210251,754.451771216004,far_left_corner_red_u_building_roof
1989.57,1127.31,-110.9542432167458,32.23056942021113,750.5679501436861,far_corner_doughnut_building
2538.38,779.33,-110.9484843503531,32.23286215383374,764.6189028140615,base_radio_dish_far_right
1832.57,798.33,-110.9524416652855,32.23242520655453,765.6529968859006,circular_building_center_roof
2173.08,725.66,-110.9510898121002,32.23258366783413,781.014242990726,close_corner_tallest_far_red_building_roof
2368.50,791.59,-110.9489977122077,32.23318661551252,761.7957842691657,white_dome_top
582.78, 664.18,-110.9392601,32.3722012,1619.5515236,mountains_peak_left_of_dip
657.54,695.47,-110.9323688,32.3721930,1347.79553698148,mountains_left_dip
739.25,657.23,-110.9243997,32.3776857,1652.756399971857,mountains_right_of_dip
1076.42,614.07,-110.8998753078339,32.36260138394115,1822.701045107426,mountains_pointy_bit
1477.53,609.57,-110.8435989781433,32.38439428076198,2357.407900804103,mountain_right_peak
1211.24,606.20,-110.8802080743854,32.37540188145763,2192.263419067554,mountain_left_peak
358.47,808.44,-110.9551944799972,32.23456297560476,759.0167267721205,checkerboard_building_top
1056.48,746.87,-110.9522375952573,32.23677701923146,779.0139530189026,watchtower_building_top_center
2210.09,666.26,-110.7207634394576,32.38172653785812,2181.055595814213,mountains_center_w_above_tallest_right_building
115.11,904.10,-110.9552493,32.2308759,762.7540143,left_tall_builing_close_corner
287.23,1229.21,-110.9551451,32.2308210,746.2022239,left_tall_building_lower_roof
605.38,1050.14,-110.9548971,32.2312935,749.1306118,short_front_left_building_left_near_roof
